Step,Vout (Vrms),Iout (Arms),Phase θ (deg),R (Ω),X (Ω),Γ real,Γ imag,|Γ|,VSWR,Z text,z normalized,Forward P (W),Reflected P (W),Delivered P (W)
1,46.2300,0.8900,6.17,51.6429,5.5829,0.019123,0.053876,0.057169,1.1210,"51.64 + j5.58 Ω","1.033 + j0.112",877.0000,271.0000,594.0000
2,39.8400,0.9000,4.51,44.1296,3.4808,-0.060914,0.039232,0.072455,1.1560,"44.13 + j3.48 Ω","0.883 + j0.070",933.0000,108.0000,828.0000
3,41.8800,1.0400,4.20,40.1611,2.9492,-0.107940,0.036242,0.113862,1.2570,"40.16 + j2.95 Ω","0.803 + j0.059",905.0000,163.0000,711.0000
4,59.1000,1.0200,-7.06,57.5019,-7.1215,0.073848,-0.061353,0.096009,1.2120,"57.50 - j7.12 Ω","1.150 - j0.142",949.0000,193.0000,705.0000
5,39.7500,0.9900,6.02,39.9301,4.2109,-0.109542,0.051954,0.121238,1.2760,"39.93 + j4.21 Ω","0.799 + j0.084",886.0000,303.0000,602.0000
6,45.6200,1.0200,2.83,44.6709,2.2082,-0.055716,0.024625,0.060915,1.1300,"44.67 + j2.21 Ω","0.893 + j0.044",899.0000,330.0000,566.0000
7,47.3700,0.9600,-1.46,49.3277,-1.2572,-0.006607,-0.012741,0.014352,1.0290,"49.33 - j1.26 Ω","0.987 - j0.025",851.0000,414.0000,472.0000
8,51.3000,0.9800,-3.02,52.2742,-2.7579,0.022947,-0.026347,0.034939,1.0720,"52.27 - j2.76 Ω","1.045 - j0.055",895.0000,182.0000,705.0000
9,51.7500,0.9900,0.79,52.2678,0.7207,0.022223,0.006891,0.023267,1.0480,"52.27 + j0.72 Ω","1.045 + j0.014",927.0000,386.0000,547.0000
10,50.5600,1.0400,0.00,48.6154,0.0000,-0.014041,0.000000,0.014041,1.0280,"48.62 + j0.00 Ω","0.972 + j0.000",264.0000,0.0000,278.0000
