Step,Vout (Vrms),Iout (Arms),Phase θ (deg),R (Ω),X (Ω),Γ real,Γ imag,|Γ|,VSWR,Z text,z normalized,Forward P (W),Reflected P (W),Delivered P (W)
3,-65535.0000,6.3700,-64.27,47.8800,-99.3600,0.496836,-0.510772,0.712555,5.9580,"47.88 - j99.36 Ω","0.958 - j1.987",2000.0000,0.0000,0.0000
3,-65535.0000,6.3000,-64.47,48.9000,-102.3900,0.511965,-0.505257,0.719300,6.1250,"48.90 - j102.39 Ω","0.978 - j2.048",2000.0000,0.0000,0.0000
3,-65535.0000,0.1400,-64.41,47.7600,-99.7100,0.498644,-0.511357,0.714235,5.9990,"47.76 - j99.71 Ω","0.955 - j1.994",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-63.77,48.1900,-97.7900,0.488705,-0.509213,0.705784,5.7980,"48.19 - j97.79 Ω","0.964 - j1.956",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-64.26,49.0300,-101.7000,0.508532,-0.504719,0.716482,6.0540,"49.03 - j101.70 Ω","0.981 - j2.034",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-64.04,47.9800,-98.5400,0.492600,-0.510300,0.709268,5.8790,"47.98 - j98.54 Ω","0.960 - j1.971",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-64.20,48.7000,-100.7600,0.503877,-0.506478,0.714431,6.0040,"48.70 - j100.76 Ω","0.974 - j2.015",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-64.51,48.3100,-101.3600,0.506939,-0.508358,0.717924,6.0900,"48.31 - j101.36 Ω","0.966 - j2.027",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-63.69,48.3500,-97.7800,0.488657,-0.508380,0.705150,5.7830,"48.35 - j97.78 Ω","0.967 - j1.956",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-64.19,48.2000,-99.6400,0.498247,-0.509111,0.712351,5.9530,"48.20 - j99.64 Ω","0.964 - j1.993",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-64.31,48.6800,-101.2000,0.506086,-0.506527,0.716026,6.0430,"48.68 - j101.20 Ω","0.974 - j2.024",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-63.97,49.0500,-100.4400,0.502239,-0.504747,0.712049,5.9460,"49.05 - j100.44 Ω","0.981 - j2.009",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-64.02,49.2100,-100.9800,0.504930,-0.503903,0.713353,5.9770,"49.21 - j100.98 Ω","0.984 - j2.020",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-63.82,47.9700,-97.5900,0.487656,-0.510356,0.705884,5.8000,"47.97 - j97.59 Ω","0.959 - j1.952",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-63.87,48.6200,-99.1300,0.495619,-0.506990,0.708997,5.8730,"48.62 - j99.13 Ω","0.972 - j1.983",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-64.00,48.1800,-98.7800,0.493834,-0.509259,0.709378,5.8820,"48.18 - j98.78 Ω","0.964 - j1.976",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-63.27,49.2000,-97.7000,0.488289,-0.503974,0.701724,5.7050,"49.20 - j97.70 Ω","0.984 - j1.954",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-64.03,47.9500,-98.4200,0.491979,-0.510459,0.708951,5.8720,"47.95 - j98.42 Ω","0.959 - j1.968",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-63.52,48.8000,-97.9900,0.489761,-0.506056,0.704243,5.7620,"48.80 - j97.99 Ω","0.976 - j1.960",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-64.56,47.9800,-100.8400,0.504370,-0.510097,0.717348,6.0760,"47.98 - j100.84 Ω","0.960 - j2.017",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-64.79,48.1900,-102.3800,0.512049,-0.508773,0.721834,6.1900,"48.19 - j102.38 Ω","0.964 - j2.048",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-64.02,48.8700,-100.2900,0.501496,-0.505663,0.712175,5.9490,"48.87 - j100.29 Ω","0.977 - j2.006",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-63.67,48.7100,-98.4300,0.492027,-0.506532,0.706162,5.8060,"48.71 - j98.43 Ω","0.974 - j1.969",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-64.51,48.1000,-100.8800,0.504555,-0.509485,0.717043,6.0680,"48.10 - j100.88 Ω","0.962 - j2.018",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-63.66,49.1700,-99.3200,0.496577,-0.504184,0.707665,5.8410,"49.17 - j99.32 Ω","0.983 - j1.986",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-64.02,47.9600,-98.4100,0.491927,-0.510407,0.708878,5.8700,"47.96 - j98.41 Ω","0.959 - j1.968",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-63.58,48.6800,-97.9800,0.489705,-0.506675,0.704649,5.7720,"48.68 - j97.98 Ω","0.974 - j1.960",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-64.26,47.9400,-99.4400,0.497242,-0.510458,0.712613,5.9590,"47.94 - j99.44 Ω","0.959 - j1.989",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-63.81,48.2500,-98.1000,0.490317,-0.508905,0.706679,5.8180,"48.25 - j98.10 Ω","0.965 - j1.962",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-63.53,48.7200,-97.8400,0.488982,-0.506463,0.703994,5.7570,"48.72 - j97.84 Ω","0.974 - j1.957",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-64.70,48.4400,-102.4900,0.512544,-0.507511,0.721297,6.1760,"48.44 - j102.49 Ω","0.969 - j2.050",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-64.19,47.8300,-98.9000,0.494469,-0.511060,0.711113,5.9230,"47.83 - j98.90 Ω","0.957 - j1.978",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-63.41,48.9200,-97.7100,0.488320,-0.505421,0.702785,5.7290,"48.92 - j97.71 Ω","0.978 - j1.954",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-63.61,49.1400,-99.0300,0.495103,-0.504337,0.706741,5.8200,"49.14 - j99.03 Ω","0.983 - j1.981",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-64.12,49.0300,-101.1000,0.505546,-0.504789,0.714415,6.0030,"49.03 - j101.10 Ω","0.981 - j2.022",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-63.96,47.8900,-98.0400,0.490005,-0.510777,0.707812,5.8450,"47.89 - j98.04 Ω","0.958 - j1.961",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-64.77,47.7500,-101.3500,0.506983,-0.511175,0.719953,6.1420,"47.75 - j101.35 Ω","0.955 - j2.027",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-64.55,47.9800,-100.8100,0.504218,-0.510101,0.717244,6.0730,"47.98 - j100.81 Ω","0.960 - j2.016",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-63.93,48.8000,-99.7700,0.498871,-0.506049,0.710604,5.9110,"48.80 - j99.77 Ω","0.976 - j1.995",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-64.58,47.8100,-100.5900,0.503128,-0.510994,0.717114,6.0700,"47.81 - j100.59 Ω","0.956 - j2.012",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-64.05,48.8200,-100.3000,0.501551,-0.505915,0.712393,5.9540,"48.82 - j100.30 Ω","0.976 - j2.006",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-63.55,48.6900,-97.8400,0.488981,-0.506618,0.704105,5.7590,"48.69 - j97.84 Ω","0.974 - j1.957",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-64.35,49.0400,-102.1400,0.510708,-0.504607,0.717949,6.0910,"49.04 - j102.14 Ω","0.981 - j2.043",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-63.81,48.1500,-97.8800,0.489172,-0.509422,0.706258,5.8090,"48.15 - j97.88 Ω","0.963 - j1.958",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-63.93,48.3700,-98.8400,0.494138,-0.508279,0.708886,5.8700,"48.37 - j98.84 Ω","0.967 - j1.977",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-63.90,49.1300,-100.3000,0.501530,-0.504353,0.711269,5.9270,"49.13 - j100.30 Ω","0.983 - j2.006",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-63.91,49.0100,-100.0700,0.500378,-0.504971,0.710897,5.9180,"49.01 - j100.07 Ω","0.980 - j2.001",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-64.01,48.9700,-100.4500,0.502295,-0.505148,0.712373,5.9530,"48.97 - j100.45 Ω","0.979 - j2.009",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-64.19,47.8900,-99.0100,0.495033,-0.510744,0.711279,5.9270,"47.89 - j99.01 Ω","0.958 - j1.980",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-63.84,48.4500,-98.6500,0.493159,-0.507871,0.707912,5.8470,"48.45 - j98.65 Ω","0.969 - j1.973",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-63.91,48.7500,-99.5600,0.497807,-0.506312,0.710045,5.8980,"48.75 - j99.56 Ω","0.975 - j1.991",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-63.49,48.9700,-98.1900,0.490799,-0.505188,0.704343,5.7650,"48.97 - j98.19 Ω","0.979 - j1.964",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-63.69,48.7000,-98.5100,0.492438,-0.506585,0.706487,5.8140,"48.70 - j98.51 Ω","0.974 - j1.970",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-64.03,48.1700,-98.9000,0.494453,-0.509307,0.709843,5.8930,"48.17 - j98.90 Ω","0.963 - j1.978",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-63.91,49.2100,-100.5100,0.502579,-0.503939,0.711716,5.9380,"49.21 - j100.51 Ω","0.984 - j2.010",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-64.73,48.1000,-101.9100,0.509727,-0.509314,0.720571,6.1570,"48.10 - j101.91 Ω","0.962 - j2.038",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-64.89,47.8000,-102.0000,0.510237,-0.510796,0.721979,6.1940,"47.80 - j102.00 Ω","0.956 - j2.040",0.0000,0.0000,0.0000
3,-65535.0000,0.1400,-64.08,48.9500,-100.7300,0.503702,-0.505225,0.713420,5.9790,"48.95 - j100.73 Ω","0.979 - j2.015",0.0000,0.0000,0.0000
