Step,Vout (Vrms),Iout (Arms),Phase θ (deg),R (Ω),X (Ω),Γ real,Γ imag,|Γ|,VSWR,Z text,z normalized,Forward P (W),Reflected P (W),Delivered P (W)
1,10.0000,0.2000,0.00,50.0000,0.0000,0.000000,0.000000,0.000000,1.0000,"50.00+j0.00Ω","1.000+j0.000",100.0000,0.0000,100.0000
2,10.0000,0.1850,15.00,52.1310,13.9720,0.024460,0.134500,0.136712,1.3167,"52.13+j13.97Ω","1.043+j0.279",90.0000,1.6800,88.3200
3,10.0000,0.1680,30.00,51.5540,29.7620,0.074420,0.272100,0.282090,1.7847,"51.55+j29.76Ω","1.031+j0.595",80.0000,6.3600,73.6400
4,10.0000,0.1410,45.00,50.0000,50.0000,0.171570,0.418860,0.452420,2.6520,"50.00+j50.00Ω","1.000+j1.000",70.0000,14.3600,55.6400
5,10.0000,0.1200,20.00,78.5760,26.9750,0.229210,0.189600,0.297260,1.8449,"78.58+j26.98Ω","1.572+j0.540",60.0000,5.2800,54.7200
6,10.0000,0.1090,33.70,75.0000,50.0000,0.253760,0.282890,0.379930,2.2264,"75.00+j50.00Ω","1.500+j1.000",55.0000,7.9400,47.0600
7,10.0000,0.1550,19.30,60.7500,31.8700,0.157230,0.220280,0.270310,1.7418,"60.75+j31.87Ω","1.215+j0.637",50.0000,3.6500,46.3500
8,10.0000,0.2410,-32.00,35.2400,-24.7000,-0.107700,-0.280300,0.300050,1.8581,"35.24-j24.70Ω","0.705-j0.494",48.0000,4.3200,43.6800
9,10.0000,0.2770,0.00,36.1000,0.0000,-0.162200,0.000000,0.162200,1.3869,"36.10+j0.00Ω","0.722+j0.000",45.0000,1.1800,43.8200
10,10.0000,0.2000,0.00,50.0000,0.0000,0.000000,0.000000,0.000000,1.0000,"50.00+j0.00Ω","1.000+j0.000",100.0000,0.0000,100.0000
