Step,Vout (Vrms),Iout (Arms),Phase θ (deg),R (Ω),X (Ω),Γ real,Γ imag,|Γ|,VSWR,Z text,z normalized,Forward P (W),Reflected P (W),Delivered P (W)
1,10,0.2,0,50,0,0,0,0,1,50.00+j0.00Ω,1.000+j0.000,100,0,100
2,10,0.185,15,52.131,13.972,0.02446,0.1345,0.136706,1.3167,52.13+j13.97Ω,1.043+j0.279,90,1.68,88.32
3,10,0.168,30,51.554,29.762,0.07442,0.2721,0.282094,1.7847,51.55+j29.76Ω,1.031+j0.595,80,6.36,73.64
4,10,0.141,45,50,50,0.17157,0.41886,0.452637,2.652,50.00+j50.00Ω,1.000+j1.000,70,14.36,55.64
5,10,0.12,20,78.576,26.975,0.22921,0.1896,0.297465,1.8449,78.58+j26.98Ω,1.572+j0.540,60,5.28,54.72
6,10,0.109,33.7,75,50,0.25376,0.28289,0.380027,2.2264,75.00+j50.00Ω,1.500+j1.000,55,7.94,47.06
7,10,0.155,19.3,60.75,31.87,0.15723,0.22028,0.270637,1.7418,60.75+j31.87Ω,1.215+j0.637,50,3.65,46.35
8,10,0.241,-32,35.24,-24.7,-0.1077,-0.2803,0.300279,1.8581,35.24-j24.70Ω,0.705-j0.494,48,4.32,43.68
9,10,0.277,0,36.1,0,-0.1622,0,0.1622,1.3869,36.10+j0.00Ω,0.722+j0.000,45,1.18,43.82
10,10,0.2,0,50,0,0,0,0,1,50.00+j0.00Ω,1.000+j0.000,100,0,100
